poly,obj,n,halfdeg,nhbd,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
r_w_h_2_3,-15.763603,2,3,h,210,95,0.070216,0.003483,748.516647,0.272983,0.567142,0.152377,45,4,2.555556,5.155556
r_p_i_2_3,-9.417364,2,3,i,1110,95,0.070216,0.017809,849.051196,0.228941,0.412159,0.3589,34,0,2.529412,2.558824
r_p_h_2_3,-15.763701,2,3,h,1110,95,0.070216,0.018025,2289.688821,0.331658,0.416564,0.249707,63,1,2.47619,2.984127
c_w_i_2_4,-49.730493,2,4,i,225,55,0.120859,0.006746,482.302884,0.393562,0.350068,0.230802,33,2,2.151515,4.181818
c_w_h_2_4,-49.730244,2,4,h,225,55,0.120859,0.009112,745.264076,0.407505,0.442833,0.14141,33,0,2.363636,2.363636
c_p_i_2_4,-49.730127,2,4,i,625,55,0.120859,0.009072,248.680058,0.214803,0.160631,0.614289,29,2,2.172414,4.37931
c_p_h_2_4,-49.730924,2,4,h,625,55,0.120859,0.012318,398.78085,0.240462,0.24873,0.510808,38,0,2.289474,2.447368
r_w_i_2_4,-47.633283,2,4,i,495,210,0.157014,0.022797,1203.86912,0.169828,0.314611,0.510995,41,0,2.536585,2.560976
r_w_h_2_4,-49.73244,2,4,h,495,210,0.157014,0.020434,14752.435225,0.273477,0.352574,0.323944,250,6,2.036,2.552
r_p_i_2_4,-47.633336,2,4,i,5005,210,0.157014,0.503283,26923.624554,0.20606,0.414199,0.379741,65,0,2.538462,2.538462
r_p_h_2_4,-49.728759,2,4,h,5005,210,0.157014,0.392725,39698.214332,0.343884,0.351595,0.304521,77,0,2.480519,2.506494
c_w_i_3_1,-1.100071,3,1,i,16,10,0.097684,0.000305,9.369873,0.294265,0.2433,0.446338,25,1,1.76,3.4
c_w_h_3_1,-1.100071,3,1,h,16,10,0.097684,0.000259,17.061029,0.162367,0.435653,0.389015,21,2,1.809524,4.904762
c_p_i_3_1,-1.100071,3,1,i,22,10,0.097684,0.000157,4.404041,0.270076,0.220802,0.501575,25,1,1.76,3.4
c_p_h_3_1,-1.100071,3,1,h,22,10,0.097684,9.2E-05,12.140598,0.222471,0.437799,0.33488,46,1,1.934783,2.978261
r_w_i_3_1,-1.100071,3,1,i,28,13,0.010668,0.000342,11.123166,0.300709,0.260765,0.423682,27,1,1.740741,3.333333
r_w_h_3_1,-1.100071,3,1,h,28,13,0.010668,0.000322,15.706083,0.200117,0.582388,0.201504,22,2,1.727273,4.818182
r_p_i_3_1,-1.100071,3,1,i,34,13,0.010668,0.000142,6.098418,0.264528,0.214925,0.514088,27,1,1.740741,3.333333
r_p_h_3_1,-1.100071,3,1,h,34,13,0.010668,0.000141,7.712295,0.178679,0.48944,0.318579,22,2,1.727273,4.772727
c_w_i_3_2,-9.797299,3,2,i,100,34,0.036732,0.005496,88.789189,0.337721,0.350118,0.287782,27,2,2.037037,4.296296
c_w_h_3_2,-9.797226,3,2,h,100,34,0.036732,0.002028,182.839753,0.324911,0.504276,0.16345,36,1,2.138889,3.194444
c_p_i_3_2,-9.797292,3,2,i,196,34,0.036732,0.002082,84.171765,0.15555,0.199592,0.6376,37,3,1.972973,4.756757
c_p_h_3_2,-9.797358,3,2,h,196,34,0.036732,0.001645,86.918794,0.215342,0.309815,0.472089,33,1,2.121212,3.212121
r_w_i_3_2,-9.678042,3,2,i,210,70,0.062233,0.003691,1780.181127,0.244846,0.256244,0.33991,250,51,2.456,7.124
r_w_h_3_2,-9.797188,3,2,h,210,70,0.062233,0.006238,580.11976,0.293695,0.485149,0.210873,51,2,2.215686,3.568627
r_p_i_3_2,-9.797473,3,2,i,574,70,0.062233,0.009079,554.719917,0.23189,0.363706,0.389202,42,3,2.119048,4.52381
r_p_h_3_2,-9.797272,3,2,h,574,70,0.062233,0.014388,1007.982241,0.277435,0.39881,0.320019,64,2,2.25,3.390625
c_w_i_3_3,-44.063042,3,3,i,400,80,0.206112,0.017274,1282.020654,0.293206,0.315602,0.352198,49,4,2.265306,4.836735
c_w_h_3_3,-44.070495,3,3,h,400,80,0.206112,0.016545,3390.843129,0.343119,0.482946,0.16969,60,2,2.4,3.533333
