count,mat,scalar
208,8.43E+12,2.66E+10
209,8.34E+12,3.07E+10
210,2.62E+14,2.46E+10
211,8.84E+12,2.12E+10
212,8.74E+12,6.21E+10
213,8.66E+12,4.49E+10
214,8.59E+12,4.45E+10
215,8.54E+12,3.63E+10
216,8.50E+12,3.16E+10
217,2.66E+14,2.87E+10
218,8.73E+12,1.07E+11
219,8.68E+12,6.98E+10
220,8.65E+12,5.43E+10
221,8.62E+12,4.37E+10
222,8.59E+12,1.25E+11
223,8.57E+12,9.16E+10
224,8.56E+12,9.12E+10
225,8.55E+12,7.48E+10
226,8.54E+12,6.54E+10
227,8.53E+12,5.94E+10
228,8.53E+12,2.18E+11
229,8.52E+12,1.44E+11
230,8.52E+12,1.12E+11
231,8.10E+12,9.07E+10
232,2.29E+14,2.62E+11
233,2.15E+14,1.94E+11
234,5.53E+16,1.94E+11
235,3.43E+15,1.59E+11
236,4.92E+16,1.38E+11
237,3.30E+15,4.78E+11
238,1.24E+18,3.34E+11
239,6.09E+17,2.66E+11
240,8.03E+18,2.49E+11
241,2.90E+18,6.60E+11
242,4.72E+18,5.11E+11
243,6.58E+18,6.61E+11
244,0,5.10E+11
245,0,4.27E+11
246,0,3.76E+11
247,0,1.13E+12
248,0,8.42E+11
249,0,7.30E+11
250,0,6.22E+11
251,0,5.54E+11
252,0,1.93E+12
253,0,1.37E+12
254,0,1.09E+12
255,0,9.29E+11
256,0,2.54E+12
257,0,1.96E+12
258,0,2.13E+12
259,0,1.73E+12
260,0,1.50E+12
261,0,4.87E+12
262,0,3.48E+12
263,0,3.20E+12
264,0,2.66E+12
265,0,2.33E+12
266,0,9.80E+12
267,0,6.34E+12
268,0,4.84E+12
269,0,4.28E+12
270,0,3.70E+12
271,0,1.24E+13
272,0,8.85E+12
273,0,8.16E+12
274,0,6.70E+12
275,0,5.82E+12
276,0,2.52E+13
277,0,1.63E+13
278,0,1.24E+13
279,0,1.10E+13
280,0,3.73E+13
281,0,2.65E+13
282,0,3.28E+13
283,0,2.45E+13
284,0,2.01E+13
285,0,8.74E+13
286,0,5.64E+13
287,0,5.53E+13
288,0,4.23E+13
289,0,3.53E+13
290,0,2.20E+14
291,0,1.20E+14
292,0,8.98E+13
293,0,7.05E+13
294,0,7.51E+14
295,0,3.12E+14
296,0,2.01E+14
297,0,1.97E+14
298,0,1.50E+14
299,0,9.55E+14
300,0,5.27E+14
301,0,5.72E+14
302,0,3.91E+14
303,0,4.02E+15
304,0,1.79E+15
305,0,2.25E+15
306,0,1.33E+15
307,0,3.44E+16
308,0,1.48E+16
309,0,7.21E+15
310,0,1.98E+17
311,0,3.30E+17
