x,y
0.0,0.0
0.0,0.0
0.0,0.8458781362007168
0.07400058144377678,0.8458781362007168
0.07400058144377678,0.8494623655913979
0.11547721741993588,0.8494623655913979
0.11547721741993588,0.8530465949820788
0.24100809950379498,0.8530465949820788
0.24100809950379498,0.8566308243727598
0.29956028185890793,0.8566308243727598
0.29956028185890793,0.8602150537634409
0.3785116232537299,0.8602150537634409
0.3785116232537299,0.8637992831541219
0.41503749927884376,0.8637992831541219
0.41503749927884376,0.8673835125448028
2.643856189774725,0.8673835125448028
2.643856189774725,1.003584229390681
