n,alpha,u,w
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
1,1,-0.5411961003531022,1.3065629656182944
2,0.252637586043712,-0.692205121549107,1.063760697483691
2,0.747362413956288,-0.692205121549107,1.1786709770168335
2,0.009087895347909297,-0.5566895585664389,1.0031308637532914
2,0.9909121046520908,-0.5566895585664389,1.2976229080034525
2,0.3147385212922305,-0.7056490982651055,1.0761121797786035
2,0.6852614787077694,-0.7056490982651055,1.1593282273245866
2,0.2810216417708378,-0.6989465750599738,1.0694555523658789
2,0.7189783582291622,-0.6989465750599738,1.1695035332210257
2,0.6602443442591825,-0.709781399847188,1.1522239784701431
2,0.3397556557408175,-0.709781399847188,1.081013546462703
2,0.7718492892413218,-0.685498326966514,1.1870767383980254
2,0.2281507107586782,-0.685498326966514,1.0587449608885284
2,0.8723800465790194,-0.6470375080632134,1.2276610186958778
2,0.12761995342098054,-0.6470375080632134,1.0364318372601868
2,0.43438555850922345,-0.719632090855234,1.09974094986548
2,0.5656144414907766,-0.719632090855234,1.1281398362613286
2,0.7485885528524575,-0.6918896379410534,1.1790804837512439
2,0.2514114471475425,-0.6918896379410534,1.0635120900521537
2,0.36705166769071385,-0.7135296012958363,1.0863593712118067
2,0.632948332309286,-0.7135296012958363,1.1448575648348975
2,0.009794335297776423,-0.5576533359764545,1.003368590180401
2,0.9902056647022235,-0.5576533359764545,1.2970251519603173
2,0.1361839300088647,-0.6511560233729444,1.0384803639717295
2,0.8638160699911352,-0.6511560233729444,1.2237460787423513
2,0.4748587386119769,-0.7212750325616859,1.1080700965436914
2,0.5251412613880232,-0.7212750325616859,1.118902586916789
2,0.7985649654392342,-0.6771352999900513,1.196834653725476
2,0.20143503456076584,-0.6771352999900513,1.053126119905219
2,0.48385365593744867,-0.7214403523028259,1.1099636639864723
2,0.5161463440625513,-0.7214403523028259,1.1169173854785277
2,0.08897261639577896,-0.6257727003551704,1.0267091670573203
2,0.9110273836042211,-0.6257727003551704,1.246706394765475
2,0.4862747164792146,-0.7214725312145016,1.1104763466653675
2,0.5137252835207853,-0.7214725312145016,1.1163868688384262
2,0.1675903989619032,-0.6647543977166104,1.0457210291612262
2,0.8324096010380968,-0.6647543977166104,1.2101938377993682
2,0.4015051519977901,-0.7171926112726195,1.0931536336257384
2,0.5984948480022099,-0.7171926112726195,1.1360677401118882
2,0.9621240510123739,-0.5879681170767542,1.276523211231058
2,0.03787594898762609,-0.5879681170767542,1.012315163109227
5,0.024625548080624823,-0.8533027531225912,1.003341952379779
5,0.2673126488146937,-0.8533027531225912,1.0357004808820136
5,0.2799919679435858,-0.8533027531225912,1.0373633252268908
5,0.0656373600097731,-0.8533027531225912,1.0088831129712708
5,0.36243247515132254,-0.8533027531225912,1.0481107445817746
5,0.1703738275178108,-0.7885193889188749,1.0317178496067636
5,0.03686628107926228,-0.7885193889188749,1.006947965000279
5,0.6963107028697213,-0.7885193889188749,1.1239975970899667
5,0.049860521078240974,-0.7885193889188749,1.0093855105085399
5,0.04658866745496461,-0.7885193889188749,1.0087723093734628
5,0.1171368352150523,-0.840100418233544,1.017086689252848
5,0.02209211362453354,-0.840100418233544,1.0032448375637617
5,0.5140493793302817,-0.840100418233544,1.0729629145888175
5,0.2397510021927027,-0.840100418233544,1.0346701193020469
5,0.10697066963742966,-0.840100418233544,1.015615148382551
5,0.4471549454356242,-0.8442907367510283,1.0622668717525685
5,0.1914464205154059,-0.8442907367510283,1.0271213578590466
5,0.053466262149716386,-0.8442907367510283,1.0076477989860597
5,0.027062744385560913,-0.8442907367510283,1.0038783319633657
5,0.28086962751369254,-0.8442907367510283,1.0395471263830363
5,0.39951091175888975,-0.8106371918428104,1.0662922892600226
5,0.02091807515662975,-0.8106371918428104,1.003579656078458
5,0.021426948737207404,-0.8106371918428104,1.003666579212018
5,0.08455783020058516,-0.8106371918428104,1.0143924880579769
5,0.473586234146688,-0.8106371918428104,1.0781360095643113
5,0.36068065723304604,-0.8573509883722998,1.0466910196603227
5,0.05199369373490544,-0.8573509883722998,1.0068642912867949
5,0.08975192930699684,-0.8573509883722998,1.0118200030147166
5,0.13121100876978573,-0.8573509883722998,1.0172336368147215
5,0.36636271095526596,-0.8573509883722998,1.0474099229507718
5,0.45700160248559085,-0.848202205664239,1.0621738040216506
5,0.17412944505526287,-0.848202205664239,1.024135026443255
5,0.007993888511481292,-0.848202205664239,1.0011207322553901
5,0.21341631130530178,-0.848202205664239,1.0295021133024307
5,0.14745875264236322,-0.848202205664239,1.0204753838928051
5,0.4497247726907418,-0.8633103191563156,1.055719091604163
5,0.18724121116328923,-0.8633103191563156,1.023567039324051
5,0.07945825031115011,-0.8633103191563156,1.0100681539009981
5,0.09496545217250597,-0.8633103191563156,1.0120213862531167
5,0.1886103136623129,-0.8633103191563156,1.0237373627531214
5,0.502492912832903,-0.8528868286247195,1.0662886915129934
5,0.20438041436370644,-0.8528868286247195,1.0274779245030372
5,0.13797605464993012,-0.8528868286247195,1.0186314942742485
5,0.07145024861238122,-0.8528868286247195,1.0096911668983506
5,0.08370036954107907,-0.8528868286247195,1.0113433834109093
5,0.009082372668703242,-0.8324205163061579,1.0013935228682513
5,0.06019775724270477,-0.8324205163061579,1.0092003268783118
5,0.3461903775675092,-0.8324205163061579,1.0518111967852646
5,0.4437314649187586,-0.8324205163061579,1.065954656080151
5,0.14079802760232432,-0.8324205163061579,1.0213891105574266
5,0.23384881179757525,-0.7982216335629856,1.0415614398190836
5,0.024233059369853326,-0.7982216335629856,1.0043867717080193
5,0.6047025902329287,-0.7982216335629856,1.1042697327000757
5,0.13307252292195593,-0.7982216335629856,1.0238575780668553
5,0.004143015677686759,-0.7982216335629856,1.000751353261298
5,0.040203525168333136,-0.8643401700907354,1.0050712041135232
5,0.1400374645861022,-0.8643401700907354,1.0175547813189514
5,0.35033437203052153,-0.8643401700907354,1.0433624492123255
5,0.3185664184338828,-0.8643401700907354,1.0395049660482931
5,0.1508582197811603,-0.8643401700907354,1.018898658291099
5,0.18766415454432028,-0.8413853319097107,1.027040024864262
5,0.09569879960830073,-0.8413853319097107,1.0138790977938823
5,0.5562425260205668,-0.8413853319097107,1.0781753865691428
5,0.05950856010477989,-0.8413853319097107,1.0086529212355728
5,0.10088595972203225,-0.8413853319097107,1.0146259618940139
5,0.2585260986033472,-0.8642414350148234,1.0321964690871197
5,0.08018659118446404,-0.8642414350148234,1.0100961270556197
5,0.4212227267138631,-0.8642414350148234,1.051953378405794
5,0.14572598916426427,-0.8642414350148234,1.0182737051502122
5,0.0943385943340614,-0.8642414350148234,1.0118675161614377
