count,mat,sparse,naive
1,18543.96722,101034.9962,1063885.022
2,41368.90872,139271.599,1123404.008
3,45075.10867,146481.5237,1147520.125
4,47180.59621,148857.2165,1175107.224
5,98138.83255,250278.8504,1176388.72
6,108594.8442,205500.8974,1422227.384
7,133666.9949,252382.8041,1474708.034
8,142743.8819,267748.4224,1504335.628
9,148615.133,1646775.985,1539780.655
10,1173051.995,1776810.149,1571174.504
11,1231082.538,2306261.271,763487.2873
12,1256831.149,2386546.346,740008.2323
13,1276803.981,2443638.84,721400.8746
14,1630179.943,3352692.726,3355399.086
15,1702630.722,3574182.19,3486518.782
16,1904591.591,4099582.204,3324543.81
17,1978131.005,4310048.121,3283065.885
18,5176385.635,14306169.75,3254991.846
19,5778260.428,14637051.08,3242388.424
