instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
beck753,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,6.298338700290319,6.2983386630211715,19,2.57658201,23.099309749,1.052506173,6350256895,19.13585901260376,16.005569592,5559989051,6.132871491768346e-8,9.737284417199862e-9,3.595617890838661e-9,0.0,1.4410439347280585e-9,oraclesBF
fiac81b,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,17.29284378852533,17.29284367159153,14,2.649271618,16.113328278,0.549882008,2191510612,12.167939186096191,8.993993384,1401171712,1.5089560301143404e-7,8.725898751939998e-9,6.1263525528481e-9,0.0,1.1019093220299658e-9,oraclesBF
batch,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-259180.348118912,-259180.3481340304,49,2.54363777,19.959792498,0.839738416,3498948382,15.963775157928467,12.891533092,2710789402,4.1308677801189786e-14,1.593819828493623e-19,0.0001222565433884829,0.0,1.3893171143506828e-11,oraclesBF
syn05m02m,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-3618.4269745885754,-3618.426974519939,23,2.631830966,17.63847473,0.628340474,2564095454,13.74967098236084,10.524296297,1775875498,1.7260010087838396e-10,4.7700313448500375e-14,3.763590289644202e-9,0.0,1.9499256728268582e-11,oraclesBF
syn15m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1682.938009809231,-1682.9380072333092,14,2.624119209,16.160184044,0.529541508,1951500574,12.208046913146973,9.012836872,1163218138,4.7827997178954125e-8,2.8419345751407476e-11,2.5832063849433007e-5,0.0,3.876827940949896e-9,oraclesBF
fang88,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-10.380040775322108,-10.380041049581536,16,2.648878844,17.521409361,0.719720087,2847871004,13.574772119522095,10.365187476,2057148456,6.263776020848171e-8,6.034442596545385e-9,6.9058933293450146e-9,0.0,2.938551159893369e-9,oraclesBF
syn10h,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-1267.7092790224597,-1267.7092789907908,13,2.621455566,14.950707845,0.501522436,1795763493,11.023905992507935,7.87638886,1007692081,1.1829063182099383e-9,9.33105356081393e-13,2.0424757864230847e-9,0.0,3.9936123530012137e-11,oraclesBF
demb761,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,183.4947775023798,183.46744478241436,10,2.645231684,31.594060882,1.492556427,10900679440,27.575927019119263,24.374372357,10109788172,0.02005330261638209,0.00010930169458763962,0.001866864075976033,0.0,0.0009706052073199743,oraclesBF
demb762,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.358419916493077,-10.358435973033238,13,2.664133449,23.897160566,1.074436135,6848945320,19.934679985046387,16.708395332,6058053220,4.793354585858661e-6,4.627495915884329e-7,4.261877452001836e-7,0.0,2.1748856399646986e-7,oraclesBF
demb763,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.351925217337083,-10.428930787592293,10,2.667836039,37.881464558,1.901002344,14086312480,33.917561769485474,30.683357139,13295421132,0.021541814603026253,0.002080947664396637,0.0020077643206010466,0.0,0.0010230690125673735,oraclesBF
syn20m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2970.6758183320912,-2970.6758120288355,13,2.612318929,18.17004223,0.721301265,2981969221,14.183916091918945,11.009027922,2193260481,1.6383526197372156e-6,5.515083839262815e-10,4.86632032759743e-6,0.0,1.6588321285464635e-7,oraclesBF
syn05m02h,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-3033.3467197965147,-3033.3467150068404,20,2.648966988,15.526781588,0.604685032,1898861061,11.55465817451477,8.378380667,1110345489,1.2816890659905766e-8,4.225329922312857e-12,9.151517884574559e-9,0.0,1.1300238101188998e-9,oraclesBF
syn05m03m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4844.747855802127,-4844.7477790095345,21,2.618214229,17.989519922,0.707377915,2732337558,14.030883073806763,10.847195527,1943070834,6.432600922201548e-7,1.3277473077361064e-10,0.00029545974117842336,0.0,1.7277013323434608e-8,oraclesBF
fiac81a,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,7.513057989145272,7.513057952584799,17,2.697039631,40.760539808,2.054226709,14487100925,36.832281827926636,33.539954722,13695064873,1.2671936978556064e-7,1.686655028954808e-8,6.461086930412514e-9,0.0,7.926217453297177e-10,oraclesBF
