# n = 2
signal_ratio,refrmse,deg,ignore_mono,ignore_conv,use_wsos,rmse,tm
0.0,0.0,2,true,true,true,1.0047201205431466,0.279793158
0.0,0.0,2,true,true,false,1.0047201205431466,0.257238557
0.0,0.0,2,true,false,true,1.0047180122149548,0.230895744
0.0,0.0,2,true,false,false,1.0047215305188948,0.081678877
0.0,0.0,2,false,true,true,1.0568545970593226,0.196493314
0.0,0.0,2,false,true,false,1.05685425958047,0.112683657
0.0,0.0,2,false,false,true,1.0568530492157584,0.244689463
0.0,0.0,2,false,false,false,1.0568527627728272,0.109948253
0.0,0.0,3,true,true,true,0.3624504500149175,0.075922529
0.0,0.0,3,true,true,false,0.3624504500149175,0.063474814
0.0,0.0,3,true,false,true,0.3716917733918117,0.323262065
0.0,0.0,3,true,false,false,0.37169318556217434,0.190483154
0.0,0.0,3,false,true,true,0.36244926143835543,0.145264552
0.0,0.0,3,false,true,false,0.3624497789286652,0.125819509
0.0,0.0,3,false,false,true,0.37169140563628533,0.379603529
0.0,0.0,3,false,false,false,0.3716923351708296,0.235366987
0.0,0.0,4,true,true,true,0.12086943887571097,0.155811231
0.0,0.0,4,true,true,false,0.12086943887571097,0.077102243
0.0,0.0,4,true,false,true,0.12086936638391033,0.659512652
0.0,0.0,4,true,false,false,0.12087214503000615,0.216127621
0.0,0.0,4,false,true,true,0.12086948619280441,0.224511066
0.0,0.0,4,false,true,false,0.12086935246441359,0.14548919
0.0,0.0,4,false,false,true,0.12086932015136656,0.771429769
0.0,0.0,4,false,false,false,0.12086992443632287,0.403051941
0.0,0.0,5,true,true,true,0.03692779939023326,0.15153144
0.0,0.0,5,true,true,false,0.03692779939023326,0.076850619
0.0,0.0,5,true,false,true,0.03691289062386333,0.724899077
0.0,0.0,5,true,false,false,0.03691328515021942,5.751342176
0.0,0.0,5,false,true,true,0.03691290317921803,0.229408612
0.0,0.0,5,false,true,false,0.03691350158645085,0.180426958
0.0,0.0,5,false,false,true,0.03691290537582845,0.832731138
0.0,0.0,5,false,false,false,0.03691315612596704,6.472165313
0.0,0.0,6,true,true,true,0.017360869637564894,1.388120079
0.0,0.0,6,true,true,false,0.017360869637564894,0.092175962
0.0,0.0,6,true,false,true,0.01734438382167605,7.828719017
0.0,0.0,6,true,false,false,0.01734895615254138,5.838019977
0.0,0.0,6,false,true,true,0.017344433097930566,1.797588424
0.0,0.0,6,false,true,false,0.017344643512245038,0.502727382
0.0,0.0,6,false,false,true,0.017344381715168042,9.40099045
0.0,0.0,6,false,false,false,0.017346599765861108,8.903478606
0.0,0.0,7,true,true,true,0.009966523296050179,1.378639701
0.0,0.0,7,true,true,false,0.009966523296050179,0.100791338
0.0,0.0,7,true,false,true,0.00993805229863343,8.674335112
0.0,0.0,7,true,false,false,0.009951435007355309,1895.442889442
0.0,0.0,7,false,true,true,0.009938102989229083,1.64862464
0.0,0.0,7,false,true,false,0.009938498413877958,0.697877245
0.0,0.0,7,false,false,true,0.009938054808809995,10.696707012
0.0,0.0,7,false,false,false,0.009952795985490967,4172.066146037
100.0,0.7267748185210309,2,true,true,true,2.688794727312173,0.297201507
100.0,0.7267748185210309,2,true,true,false,2.688794727312173,0.378559472
100.0,0.7267748185210309,2,true,false,true,2.688792771224278,0.905565989
100.0,0.7267748185210309,2,true,false,false,2.6887937759537675,0.486529015
100.0,0.7267748185210309,2,false,true,true,2.690011901085379,0.80564877
100.0,0.7267748185210309,2,false,true,false,2.690011974954941,0.657593019
