# n = 2
signal_ratio,refrmse,deg,ignore_mono,ignore_conv,use_wsos,rmse,tm
0.0,0.0,2,true,true,true,1.0047201205431466,0.558334032
0.0,0.0,2,true,true,false,1.0047178467895752,0.296037474
0.0,0.0,2,true,false,true,1.0047180122149548,0.595777098
0.0,0.0,2,true,false,false,1.0047225633292587,0.104118971
0.0,0.0,2,false,true,true,1.0568545970593226,0.321071844
0.0,0.0,2,false,true,false,1.0568538527957818,0.474090417
0.0,0.0,2,false,false,true,1.0568530492157584,0.42599601
0.0,0.0,2,false,false,false,1.056853338943802,0.051907053
0.0,0.0,3,true,true,true,0.3624504500149175,0.143784712
0.0,0.0,3,true,true,false,0.3624488230260767,0.040658379
0.0,0.0,3,true,false,true,0.3716917733918117,0.52495706
0.0,0.0,3,true,false,false,0.3716910390797772,0.064916727
0.0,0.0,3,false,true,true,0.36244926143835543,0.229355369
0.0,0.0,3,false,true,false,0.362449406069962,0.050768546
0.0,0.0,3,false,false,true,0.37169140563628533,0.597827648
0.0,0.0,3,false,false,false,0.3716964493010166,0.062140479
0.0,0.0,4,true,true,true,0.12086943887571097,0.236379682
0.0,0.0,4,true,true,false,0.12086935219436808,0.04842407
0.0,0.0,4,true,false,true,0.12086936638391033,1.028207382
0.0,0.0,4,true,false,false,0.12090030152262245,0.0677495
0.0,0.0,4,false,true,true,0.12086948619280441,0.341258629
0.0,0.0,4,false,true,false,0.12086958563005094,0.059170955
0.0,0.0,4,false,false,true,0.12086932015136656,1.144898421
0.0,0.0,4,false,false,false,0.12087273923105026,0.075248979
0.0,0.0,5,true,true,true,0.03692779939023326,0.234505998
0.0,0.0,5,true,true,false,0.03691306254294112,0.05031927
0.0,0.0,5,true,false,true,0.03691289062386333,1.149688388
0.0,0.0,5,true,false,false,0.03692461727349393,0.2859955
0.0,0.0,5,false,true,true,0.03691290317921803,0.427323782
0.0,0.0,5,false,true,false,0.03691550982800783,0.065268636
0.0,0.0,5,false,false,true,0.03691290537582845,1.262452273
0.0,0.0,5,false,false,false,0.03692953764898607,0.253995894
0.0,0.0,6,true,true,true,0.017360869637564894,1.955179619
0.0,0.0,6,true,true,false,0.017344403873184387,0.056755732
0.0,0.0,6,true,false,true,0.01734438382167605,12.009079239
0.0,0.0,6,true,false,false,0.017365287089508085,0.263303418
0.0,0.0,6,false,true,true,0.017344433097930566,2.295606796
0.0,0.0,6,false,true,false,0.017428076750169517,0.120029247
0.0,0.0,6,false,false,true,0.017344381715168042,13.376414837
0.0,0.0,6,false,false,false,0.017390975879183007,0.298453061
0.0,0.0,7,true,true,true,0.009966523296050179,1.881046171
0.0,0.0,7,true,true,false,0.009945804092152982,0.050314529
0.0,0.0,7,true,false,true,0.00993805229863343,13.015034334
0.0,0.0,7,true,false,false,0.01022233545537311,4.206452507
0.0,0.0,7,false,true,true,0.009938102989229083,2.307354706
0.0,0.0,7,false,true,false,0.010043226027610753,0.07970272
0.0,0.0,7,false,false,true,0.009938054808809995,14.753140373
0.0,0.0,7,false,false,false,0.009921371695836234,4.244157772
100.0,0.7267748185210309,2,true,true,true,2.688794727312173,0.14982441
100.0,0.7267748185210309,2,true,true,false,2.6887927408434376,0.055439266
100.0,0.7267748185210309,2,true,false,true,2.688792771224278,0.301158199
100.0,0.7267748185210309,2,true,false,false,2.6887937316951644,0.057793223
100.0,0.7267748185210309,2,false,true,true,2.690011901085379,0.259542191
100.0,0.7267748185210309,2,false,true,false,2.6900144801351162,0.065899883
100.0,0.7267748185210309,2,false,false,true,2.6900113410936983,0.460246373
100.0,0.7267748185210309,2,false,false,false,2.6900132581141967,0.058062352
100.0,0.7267748185210309,3,true,true,true,2.6678988955454592,0.148889027
100.0,0.7267748185210309,3,true,true,false,2.667896385734712,0.042481739
100.0,0.7267748185210309,3,true,false,true,2.668292838554556,0.490536397
100.0,0.7267748185210309,3,true,false,false,2.6682926107432445,0.06507536
100.0,0.7267748185210309,3,false,true,true,2.667896413518309,0.257779731
100.0,0.7267748185210309,3,false,true,false,2.6678963904456285,0.06923408
100.0,0.7267748185210309,3,false,false,true,2.668292851955638,0.609340345
100.0,0.7267748185210309,3,false,false,false,2.668294195214607,0.075926175
