# n = 2
signal_ratio,refrmse,deg,ignore_mono,ignore_conv,use_wsos,rmse,tm,status
0.0,0.0,2,false,false,true,0.6141888440936096,0.553462659,Success
0.0,0.0,2,false,false,false,0.6141888735487334,0.435879053,Success
0.0,0.0,3,false,false,true,0.614188840282706,0.237494917,Success
0.0,0.0,3,false,false,false,0.6141888441397839,0.375330256,Success
0.0,0.0,4,false,false,true,0.614188838553429,1.657927528,NumericalError
0.0,0.0,4,false,false,false,0.6141888380506063,0.624535908,Success
0.0,0.0,5,false,false,true,0.6141888358422373,1.582366981,Success
0.0,0.0,5,false,false,false,0.6141888354566595,8.558454663,Success
0.0,0.0,6,false,false,true,0.6141888344923531,18.529209006,Success
0.0,0.0,6,false,false,false,0.6141888351662684,12.449245401,Success
400.0,0.04954078609104769,2,false,false,true,0.7803176080774293,0.252349495,Success
400.0,0.04954078609104769,2,false,false,false,0.7803176316926187,0.169262103,Success
400.0,0.04954078609104769,3,false,false,true,0.7803176069649151,0.266361314,Success
400.0,0.04954078609104769,3,false,false,false,0.7803176046267313,0.393371709,Success
400.0,0.04954078609104769,4,false,false,true,0.7803175986889177,1.675106165,Success
400.0,0.04954078609104769,4,false,false,false,0.7803176017355509,0.650256639,Success
400.0,0.04954078609104769,5,false,false,true,0.780317598681956,1.74722712,Success
400.0,0.04954078609104769,5,false,false,false,0.7803175979065119,9.700574177,Success
400.0,0.04954078609104769,6,false,false,true,0.7803175970554677,25.004900471,Success
400.0,0.04954078609104769,6,false,false,false,0.7803175984083548,14.696178048,Success
