# n = 1
signal_ratio,refrmse,deg,ignore_mono,ignore_conv,use_wsos,rmse,tm,status
0.0,0.0,2,false,false,true,1.0408332081716007,0.466209246,Success
0.0,0.0,2,false,false,false,1.0408335669854465,0.367129862,Success
0.0,0.0,3,false,false,true,1.0408333508954015,0.135648032,Success
0.0,0.0,3,false,false,false,1.0408332709976538,0.13497667,Success
0.0,0.0,4,false,false,true,1.0408332362444304,0.162985721,Success
0.0,0.0,4,false,false,false,1.0408332925987678,0.149604785,Success
0.0,0.0,5,false,false,true,1.040833236260599,0.157588565,Success
0.0,0.0,5,false,false,false,1.040833276462254,0.210203542,Success
0.0,0.0,6,false,false,true,1.0408332132286562,0.230574524,Success
0.0,0.0,6,false,false,false,1.0408332435606857,0.218367105,Success
400.0,0.047239781437876695,2,false,false,true,1.0997379853970197,0.119680839,Success
400.0,0.047239781437876695,2,false,false,false,1.099738043516843,0.131780314,Success
400.0,0.047239781437876695,3,false,false,true,1.0997380479891479,0.126875101,Success
400.0,0.047239781437876695,3,false,false,false,1.0997379630720778,0.133907449,Success
400.0,0.047239781437876695,4,false,false,true,1.0997379262182856,0.15137746,Success
400.0,0.047239781437876695,4,false,false,false,1.0997380333241582,0.147668739,Success
400.0,0.047239781437876695,5,false,false,true,1.0997378964127833,0.152286589,Success
400.0,0.047239781437876695,5,false,false,false,1.09973792430699,0.211069639,Success
400.0,0.047239781437876695,6,false,false,true,1.0997379016762756,0.222546983,Success
400.0,0.047239781437876695,6,false,false,false,1.0997379339078854,0.223995464,Success
