count,mat,sparse,naive,matsmooth,sparsesmooth,naivesmooth
1,28.18543945,56.3708789,822.6162258,9536.666802,9949.891836,4425902.259
2,235.7764876,4550.668597,5745.218377,10465.41948,11413.381,4426780.59
3,158.2791383,1259.868101,1449196.991,13078.02169,13385.15255,4426988.489
4,2111.077359,184.514667,4267.487698,15567.4408,14404.09462,4285974.195
5,1476.303352,1261.630309,42704329.28,16791.20555,17268.13987,4287864.445
6,24863.59009,1040.133059,25522.61713,18039.03821,19849.38793,20197.72035
7,13615.18488,6027.363469,13170.20895,16758.1841,21028.74991,19552.49201
8,3371.069587,24531.3337,9638.689448,19437.82194,21689.92677,19748.2758
9,27798.79546,4905.159465,32882.19478,20177.02057,23811.01046,20074.95135
10,21708.40623,55681.87611,13447.27902,21844.31909,27202.1754,17937.33665
11,9315.712238,14691.26255,9605.931836,28470.048,23437.51316,28641.22322
12,26361.79855,24268.38409,7824.201854,30245.50075,25042.42895,32465.23528
13,25052.4703,11449.28876,39054.05216,38424.58365,25618.85143,33866.39459
14,14348.72486,28824.96722,23169.99483,42734.11586,26685.1472,31829.11924
15,13954.62987,27074.11089,27662.03348,114009.1123,35234.91364,31182.07341
16,12055.04904,12833.75279,19070.3337,183082.8341,248124.8535,29952.58301
17,40411.56324,12639.13209,15128.04685,2259859.853,256273.7825,97994.75655
18,10763.05587,45742.17063,12905.44503,4442381.65,614146.8528,107134.8049
19,44471.78073,38816.80887,11506.04773,4734181.39,654622.9761,108283.8281
20,87965.6953,18035.25365,120486.1448,13009504.18,965970.4779,149786.3494
21,27070.23977,30740.42049,47846.05236,56450104.51,1008035.071,143188.9958
22,108152.6275,30032.60886,21835.79503,60426946.42,2208228.486,657798.9176
23,68147.79246,22112.24646,18681.29865,168686520.9,3456258.928,711037.0358
24,727098.6889,114322.6317,16699.53653,256843142.7,77749457.91,731989.4964
25,704691.8486,2155973.51,15367.12945,12629121788,82284727.74,1263752.949
26,20779825.23,94323.04249,699492.0691,13264693251,100657736.3,1741324.079
27,21865629.54,3591369.835,106528.5305,17386836471,104662074.5,1826231.563
28,2928760.453,450503.4042,24395.67685,17892390157,2754154270,19505918.35
29,82797699.67,3152291.827,426531.2607,1.23499E+12,2824387884,21386800.85
30,434493969,438681.1836,54512.60916,1.23938E+12,3889148723,30299985.1
31,39795489.39,12032674.57,5193945.27,1.31508E+12,3950346562,31864454.88
32,1082703898,12510337.03,554216.9772,1.31905E+12,5592812927,32092995.42
33,881634365.5,742954102.1,228205.9047,1.57676E+12,7028202093,385434112.5
34,1.23724E+11,45467020.96,5334334.066,1.81101E+12,7282407602,397995107.3
35,6356419317,185886059.4,4791078.429,2.58015E+12,21010080829,409142973.7
36,41242212028,40137704.58,1548566.908,3.22187E+12,1.46754E+11,474064167.7
37,5077402489,26498513330,176903396.4,1.34658E+13,1.52161E+11,604163445.5
38,1.2171E+13,702786638.9,18833220.72,4.42869E+14,3.15366E+11,642886807.8
39,44018415345,10650760684,89558373.75,4.50589E+14,4.55612E+11,2216321033
40,7.5739E+11,612417070.1,15699210.45,9.02736E+14,4.83826E+11,3517251630
41,39775398800,16436696318,7479350.616,9.55972E+14,1.75579E+12,3933268288
42,2.57813E+12,14366402000,3533965388,1.15327E+15,1.32592E+13,15273763375
43,2.34338E+12,3285009196,125838154,1.20029E+15,1.37411E+13,18237460610
44,7.81515E+12,1.37322E+11,116812998.3,2.27329E+16,3.05029E+13,26050736348
45,6.42352E+12,1.25763E+12,654003017.8,2.33477E+16,4.45991E+13,28848634120
46,1.02481E+14,54108222819,1302541345,2.56254E+16,4.7095E+13,1.36534E+12
47,4.29403E+15,1.65855E+12,564137019.2,2.61902E+16,1.61835E+14,1.41182E+12
48,8.93743E+13,1.40317E+12,15753175475,2.97941E+16,1.22575E+15,2.02082E+12
49,4.52151E+15,2.92787E+11,13098864338,3.20417E+16,1.26901E+15,2.06032E+12
50,5.33126E+14,1.27203E+13,4175865791,3.47639E+16,2.1914E+15,2.63735E+12
51,1.97298E+15,1.15051E+14,1.13412E+11,3.88981E+16,3.09376E+15,3.19249E+12
52,4.72848E+14,4.83345E+12,33170937737,4.48127E+16,3.31906E+15,3.41427E+12
53,2.15329E+17,1.6762E+14,78258595542,4.8267E+16,9.54669E+15,1.61002E+15
54,6.15542E+15,1.411E+14,28095790714,2.67341E+16,1.96305E+16,1.61491E+15
55,2.27842E+16,2.62163E+13,1.33655E+13,2.61186E+16,2.35258E+16,1.63222E+15
56,5.74974E+15,1.14746E+15,4.66147E+11,2.38401E+16,2.82386E+16,1.63351E+15
57,4.03328E+16,1.06408E+16,6.09053E+12,2.32652E+16,3.23444E+16,2.13644E+15
58,2.25662E+16,4.3408E+14,4.10774E+11,1.92319E+16,3.32768E+16,2.16836E+15
59,3.17428E+16,9.22416E+15,5.78339E+12,1.69753E+16,4.93958E+16,2.42753E+15
60,4.1875E+16,9.03636E+15,5.55558E+12,1.3801E+16,1.17001E+17,2.45801E+15
61,6.11196E+16,2.36798E+15,2.33124E+12,9.61348E+15,1.23676E+17,3.93188E+15
62,3.50152E+16,6.22812E+16,1.6066E+16,3.50152E+15,1.23439E+17,5.56164E+15
63,0,1.01005E+17,4.89769E+13,0,1.17211E+17,4.25366E+15
64,0,3.90949E+16,1.73145E+14,0,1.07111E+17,1.29004E+16
65,0,4.71537E+16,2.63146E+13,0,1.03201E+17,3.38516E+16
66,0,4.22056E+16,5.02975E+15,0,9.84857E+16,3.60162E+16
67,0,1.99651E+16,3.25257E+14,0,9.42651E+16,8.758E+16
68,0,1.61623E+17,2.59215E+15,0,9.22686E+16,1.87275E+17
69,0,6.85273E+17,3.1059E+14,0,7.61063E+16,1.99185E+17
70,0,7.57891E+16,1.47443E+16,0,7.57891E+15,2.2083E+17
71,0,0,1.62999E+16,0,0,2.96803E+17
72,0,0,2.98623E+15,0,0,3.87879E+17
73,0,0,8.65163E+16,0,0,8.02872E+17
74,0,0,2.09685E+17,0,0,7.09955E+18
75,0,0,2.16719E+16,0,0,9.0153E+18
76,0,0,5.20668E+17,0,0,9.26596E+18
77,0,0,9.97272E+17,0,0,1.01425E+19
78,0,0,1.21694E+17,0,0,1.0406E+19
79,0,0,2.16758E+17,0,0,1.05875E+19
80,0,0,7.74479E+17,0,0,1.10904E+19
81,0,0,9.27055E+17,0,0,1.20749E+19
82,0,0,4.15292E+18,0,0,1.30262E+19
83,0,0,6.30533E+19,0,0,1.29649E+19
