stepper,use_corr,use_curve_search,solve_time_geomean_notmissing,iters_geomean_notmissing,solve_time_geomean_this_opt,iters_geomean_this_opt,solve_time_geomean_all_opt,iters_geomean_all_opt,solve_time_geomean_all,iters_geomean_all,optimal,numerical,slowprogress,killed,setup,timelimit,iterationlimit,skip,total
Hypatia.Solvers.PredOrCentStepper{Float64},true,false,0.7296296491442728,22.982033602871564,0.6978861173422334,20.527383208968732,0.6641127905987452,21.943623186887084,0.7296296491442728,22.982033602871564,193,5,1,0,0,0,0,0,199
Hypatia.Solvers.PredOrCentStepper{Float64},false,false,0.7475776224609669,41.414886538585264,0.7252188551996963,36.34931497399313,0.684817930613296,39.75282553525569,0.7475776224609669,41.414886538585264,193,6,0,0,0,0,0,0,199
Hypatia.Solvers.PredOrCentStepper{Float64},true,true,0.7206977167475987,20.926917296589462,0.697017500539489,19.128476650881527,0.6623537252307867,20.13483456647383,0.7206977167475987,20.926917296589462,194,5,0,0,0,0,0,0,199
Hypatia.Solvers.CombinedStepper{Float64},true,false,0.8234261573854383,14.961483656322514,0.7845538623788141,13.266867064231457,0.7635800074504427,14.412200562298604,0.8234261573854383,14.961483656322514,192,6,1,0,0,0,0,0,199
