x,nat,ext,mosek
3,0.021439075469970703,0.32064199447631836,0.07454085350036621
10,1.66851806640625,26.807600021362305,
15,10.436470031738281,157.5999321937561,65.16853404045105
20,43.96104598045349,1013.4028968811035,263.402263879776
25,150.19571113586426,,
30,423.09848403930664,,
35,1023.791417837143,,
40,,,
