d,t1,v1,t2,v2,fact
3,1.291e-5,2.3531906440601617e-10,8.64e-6,0.0003015784789328878,Ch
10,1.524e-5,1.334522666943059e-10,1.907e-5,0.0003305997460999354,Ch
30,1.22e-5,1.0278070801963409e-10,8.3331e-5,0.008064163945920935,Ch
100,1.786e-5,1.5171001398360818e-10,0.001123064,0.03720905255464168,Ch
300,1.997e-5,1.5859857886782694e-10,0.01008693,0.5011864334536263,Ch
1000,4.795e-5,2.3002340853662408e-9,0.094951617,0.9903748755587358,Ch
3000,0.000108581,6.85812145317278e-10,0.834396071,1.1558697902327535,BK
10000,0.000147272,4.7495096026681955e-11,7.858838876,0.9315888803099174,Ch
