x,nat,ext,mosek
3,17.01763606071472,,0.004291057586669922
20,,,
40,,,3.957545042037964
60,,,
80,,,
100,,,
120,,,471.4919910430908
140,,,991.581228017807
160,,,
180,,,
200,,,
220,,,
