stepper,use_corr,use_curve_search,solve_time_geomean_notmissing,iters_geomean_notmissing,solve_time_geomean_this_opt,iters_geomean_this_opt,solve_time_geomean_all_opt,iters_geomean_all_opt,solve_time_geomean_all,iters_geomean_all,optimal,numerical,slowprogress,killed,setup,timelimit,iterationlimit,skip,total
Hypatia.Solvers.PredOrCentStepper{Float64},true,false,0.7462305480421176,26.43402437051998,0.7239274219707005,23.818445488889836,0.6838935501963496,25.108821519613002,0.7462305480421176,26.43402437051998,151,4,0,0,0,0,0,0,155
Hypatia.Solvers.PredOrCentStepper{Float64},false,false,0.7856833747573263,47.47583863383504,0.7732793099621291,42.11813470933025,0.7240104470454358,45.362543627530954,0.7856833747573263,47.47583863383504,151,4,0,0,0,0,0,0,155
Hypatia.Solvers.PredOrCentStepper{Float64},true,true,0.7343140147150689,23.908544524461423,0.722377792268942,22.176671817965026,0.6811746258442004,22.9394585914019,0.7343140147150689,23.908544524461423,152,3,0,0,0,0,0,0,155
Hypatia.Solvers.CombinedStepper{Float64},true,false,0.8755875253735017,16.339078783627812,0.8340951150151998,14.306649471755051,0.8225163313420337,15.78449141939589,0.8755875253735017,16.339078783627812,149,5,1,0,0,0,0,0,155
