example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
centralpolymat,JuMP,ext,2,"(4, 4, Main.Examples.MatNegEntropyConjEigOrd())",,Float64,Mosek,,,Success,174160,496,343280,10010.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",209,2485,Optimal,1503.0501189231873,30,10.932707342113673,10.932706882139398,3.8547353932392975e-8,1.8316783344194407e-5,1.486611636014601e-7,3.408677300628318e-8,1.752923886044755e-7,,,,,,,,,,,533.091806391,1507.164819951,2090.134363947
centralpolymat,JuMP,ext,3,"(4, 5, Main.Examples.MatNegEntropyConjEigOrd())",,Float64,Mosek,,,SetupModelKilledTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.408014166,0.0,2213.161700214
centralpolymat,JuMP,ext,1,"(8, 2, Main.Examples.MatNegEntropyConjEigOrd())",,Float64,Mosek,,,Success,46710,496,91305,4185.0,"[""Nonnegative"", ""PosSemidefTri"", ""HypoPerLog""]",134,1035,Optimal,96.04188394546509,22,14.05665432295177,14.05665369683519,4.158404605770687e-8,7.887870478697628e-6,1.5324073776579183e-7,2.5521397786855647e-7,2.3216679689852526e-7,,,,,,,,,,,39.080470532,97.196871784,183.829615259
centralpolymat,JuMP,ext,2,"(8, 3, Main.Examples.MatNegEntropyConjEigOrd())",,Float64,Mosek,,,SetupModelKilledTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.40872394,0.0,2213.138790823
centralpolymat,JuMP,ext,1,"(1, 40, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,35465,82,69126,3526.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",122,861,Optimal,71.52106595039368,24,0.0013590848726975496,0.001359024215473478,6.057490131394793e-8,6.528251107955639e-7,1.2666941931124831e-8,6.857781547205778e-10,2.587817419770037e-8,,,,,,,,,,,23.047211718,72.146679671,142.344869428
centralpolymat,JuMP,ext,2,"(1, 80, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,269325,162,531846,13446.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",242,3321,TimeLimit,1861.4757959842682,9,0.5664969767171045,-0.4108660932870907,0.6927397820774732,16.89881843779166,0.19926964828904162,0.0032820593562317606,0.0026318152876907003,,,,,,,,,,,1241.554436058,1868.941123595,3158.951636847
centralpolymat,JuMP,ext,1,"(2, 6, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,11480,92,22092,1680.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",83,406,Optimal,11.007399082183838,23,0.023883221127235447,0.023883173297327604,4.671422393763043e-8,3.873470861421571e-7,9.696708228743018e-9,6.668007397499193e-10,1.0675222491515355e-8,,,,,,,,,,,3.004702636,12.017809377,64.907559691
centralpolymat,JuMP,ext,2,"(2, 9, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,84920,191,166650,6270.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",164,1540,Optimal,377.50015807151794,28,0.003148903131563431,0.003148850024413178,5.2940448719695255e-8,5.690476272813195e-7,1.1157076649712105e-8,9.056542071574197e-10,2.733983732541508e-7,,,,,,,,,,,120.241823482,379.788948989,548.035337319
centralpolymat,JuMP,ext,3,"(2, 12, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,SetupModelKilledTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.418137111,0.0,2213.389959335
centralpolymat,JuMP,ext,1,"(4, 3, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,22190,211,43050,2590.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",104,630,Optimal,33.59206509590149,27,0.015183890005517474,0.015183815186212537,7.370025390290437e-8,4.814215147511201e-7,5.668729854448051e-8,9.803572194221788e-9,7.791406252424814e-7,,,,,,,,,,,10.021910811,34.058964756,91.89890062
centralpolymat,JuMP,ext,2,"(4, 4, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,174230,496,343350,10080.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",209,2485,Optimal,1577.2541720867157,31,0.0095552009052002,0.009555131760627437,6.849014044559736e-8,8.665124325680392e-7,1.4710174016385746e-8,1.1923084405885644e-8,1.0016305406329624e-6,,,,,,,,,,,531.096165193,1581.363343963,2159.562628889
