example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
experimentdesign,JuMP,nat,1,"(25, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,51,8,376,76.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,326,Optimal,0.025632143020629883,16,-0.8712519537642481,-0.8712519961975503,2.2676423213736403e-8,4.393200856010128e-8,1.0216938406415466e-10,1.3932210505100003e-16,3.235500756204601e-10,0.000177105,0.000125187,0.000278382,3.7739e-5,7.7198e-5,0.012322655,0.00025355399999999996,0.001729053,0.005306621,0.003908848999999999,1.102376958,1.001984511,67.221018027
experimentdesign,JuMP,nat,2,"(50, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,101,11,1376,151.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,1276,Optimal,0.16141200065612793,20,-0.8561303689981439,-0.8561304623797029,5.0309803612191016e-8,9.58199671274862e-8,1.869394083975351e-10,2.814030636673664e-16,3.3818703393251326e-10,0.000822427,0.000289362,0.001695643,4.7528e-5,0.000663011,0.11726579600000002,0.0008448470000000001,0.006369773999999999,0.020505615999999994,0.011678242999999998,1.002902395,1.00737676,59.208212968
experimentdesign,JuMP,nat,3,"(75, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,151,13,3001,226.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,2851,Optimal,0.2937002182006836,19,-0.8460617665536012,-0.8460617885485091,1.1914502554272774e-8,2.227421783837196e-8,1.7827572751372145e-11,7.528929650438148e-16,4.324063329619321e-11,0.002022333,0.000612073,0.004338779,6.0279e-5,0.000774538,0.2223936380000001,0.0016504999999999996,0.008542617000000004,0.025464412000000002,0.026778233000000002,1.001452602,1.002123708,60.068605885
experimentdesign,JuMP,nat,4,"(100, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,201,15,5251,301.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,5051,Optimal,0.6573519706726074,22,-0.853585179923857,-0.8535851932428923,7.185553363096651e-9,1.2976003240365548e-8,2.3427559892041927e-10,8.837596215921645e-17,1.9049706256879517e-11,0.006161317,0.001828058,0.013119183,9.6458e-5,0.004826915,0.51225375,0.0033615929999999995,0.013720846000000004,0.048045704999999994,0.05225852899999999,1.001470751,1.000908218,60.626420441
experimentdesign,JuMP,nat,5,"(200, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,401,21,20501,601.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,20101,Optimal,4.497344017028809,22,-0.8508140628747753,-0.8508141293638524,3.592423245912051e-8,6.683091157214105e-8,1.4588108498969632e-11,4.252624852429527e-16,4.077532755886182e-11,0.051276653,0.039012757,0.127201977,0.000278192,0.036857448,3.0862450690000003,0.012887951,0.038233112000000014,0.8684310950000002,0.15842845100000003,4.007872044,5.009981869,67.268396627
experimentdesign,JuMP,nat,6,"(300, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,601,25,45751,901.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,45151,SlowProgress,9.081042051315308,10,-0.8449343139554744,-0.9917327834980558,0.07370389781141279,0.14697865620648964,2.9641161341076305e-5,7.566511662004395e-16,5.586805231216907e-5,0.212869913,0.148041656,0.75031684,0.000508146,0.16934584,5.873534522000001,0.011856976999999998,0.044051030000000005,1.2752734489999997,0.382560676,15.030848975,10.017595976,86.227603688
experimentdesign,JuMP,nat,7,"(400, Main.Examples.MatNegGeom())",,Float64,Hypatia,,,Success,801,29,81001,1201.0,"[""Nonnegative"", ""HypoRootdetTri""]",2,80201,Optimal,44.774036169052124,23,-0.8467223900921197,-0.8467224532812522,3.4216908106451016e-8,6.338268666579265e-8,2.0573598380480007e-11,1.1354490658838056e-15,1.4727996600072402e-11,0.508413033,0.351675068,1.796504339,0.000876086,0.347540623,33.139803134000005,0.048684729,0.17893394699999995,6.9518940749999985,0.7569366630000001,37.074525664,46.088836817,144.360358823
experimentdesign,JuMP,nat,1,"(25, Main.Examples.MatNegSqrt())",,Float64,Hypatia,,,Success,51,8,377,77.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,327,Optimal,0.09888792037963867,21,-26.003390288493513,-26.00339087132528,2.1583651091304895e-8,8.045431714681222e-7,3.228579625869088e-9,2.7864421010200007e-16,2.20123974603581e-9,0.000137266,0.000131786,0.001373432,3.3689e-5,0.000106977,0.034667019,0.00027814999999999996,0.018507023000000004,0.013140583999999995,0.029370653000000004,1.002462471,1.003096648,76.377084226
experimentdesign,JuMP,nat,2,"(50, Main.Examples.MatNegSqrt())",,Float64,Hypatia,,,Success,101,11,1377,152.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,1277,Optimal,0.7786850929260254,30,-51.65011894554804,-51.6501227619011,7.248516934969104e-8,5.395307915183772e-6,1.1746415673474786e-8,1.407015318336832e-16,6.878660696596484e-9,0.000890415,0.000285262,0.001661544,4.7469e-5,0.000669861,0.383036401,0.0013376400000000002,0.15836217,0.05498189999999999,0.17521877400000002,1.002688397,1.001844256,76.17658419
experimentdesign,JuMP,nat,3,"(75, Main.Examples.MatNegSqrt())",,Float64,Hypatia,,,Success,151,13,3002,227.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,2852,Optimal,2.8945980072021484,32,-76.36152244736539,-76.361525666533,4.1611997463569874e-8,4.483870359340329e-6,6.796370688455511e-9,3.764464825219074e-16,3.1547628398520544e-9,0.002092742,0.000573314,0.004338839,6.2268e-5,0.000754699,1.7570244600000005,0.00295037,0.6179398910000001,0.16446734200000002,0.3411825700000001,1.001913963,3.003236678,77.451432462
