cond,minres,,gmres,,gmresrestart,,minreskry,,greskry,,diprecon,,newpreconrestart,
0,true,9.473822527423083e-8,true,3.1685712200556796e-9,false,4.061597623506961,true,4.7975181903728605e-5,true,5.777212387966954e-8,true,1.455725647359056e-11,true,6.657275914238014e-7
0,false,4.102450974946908e-6,true,3.4796230074158545e-8,false,4.374059238238714,true,0.0004102944397560603,true,1.0463240164704703e-7,true,4.605132986271183e-8,true,1.523481522289801e-6
0,false,2.516840845478051e-5,true,6.91507068061383e-8,false,3.979529763387942,true,0.000355358979978538,true,1.498844112653225e-7,true,5.0148649065568594e-8,true,3.705143980824187e-6
0,false,2.5329395520669992e-5,true,4.624529615839587e-8,false,3.8630183198701284,true,0.00015037713563453885,true,7.873923847578258e-8,true,6.789151985699902e-8,true,5.58579025366455e-8
0,false,6.334019050735005e-5,true,1.848072191695161e-8,false,3.5828623287865184,true,9.668717236599716e-5,true,1.5744826235284946e-7,true,1.271870095690138e-7,true,9.970768903053212e-8
0,false,0.00011086596144000337,true,3.122898780160995e-8,false,3.4618089981026277,true,0.0001301691679969019,true,4.953985155569494e-8,true,1.8123130363580154e-7,true,1.2479914326243304e-7
0,false,0.000190952838312021,true,7.318287986881004e-8,false,3.2883766356925994,true,0.00024862187444646357,true,1.0474275370226848e-7,true,3.545726407301701e-7,true,1.6755237030253246e-7
0,false,0.00033678127801845014,true,1.8238636345902747e-8,false,3.223997398588911,true,0.0001873694428684953,true,8.811277977568995e-8,true,1.0167381774885897e-7,true,2.2022734372896233e-7
0,false,0.00015257485029783176,true,6.550363957424823e-8,false,3.1050574702540823,true,0.00012658892474753906,true,7.020461775208627e-8,true,1.5559052956457178e-7,true,3.146013994665643e-7
0,false,0.00022091655878113091,true,3.888439929392432e-8,false,3.0331399041804175,true,0.00019490572048150206,true,5.0000165026987635e-8,true,1.9771745218599363e-7,true,4.7405567898818844e-7
0,false,0.0005119563539544609,true,4.014216615964712e-9,false,2.82740182281015,false,0.0005124245594329503,true,1.2876306702914654e-7,true,7.114009782153662e-8,true,8.048427501031884e-7
0,false,0.0022802602261810046,true,2.446772122271017e-8,false,2.46957179823166,false,0.0025141262030622313,true,3.062367661463531e-8,true,6.411502904558031e-9,true,1.7067592339388284e-6
0,false,0.006650515258710934,true,4.033513721183574e-8,false,2.3940350645088615,false,0.00619133548782429,true,1.3646313675881893e-7,true,4.169554697541749e-9,true,2.8568764045150277e-8
0,false,0.007122919424404576,true,3.303730903773962e-14,false,2.3676454892500645,false,0.009401496692551982,true,6.329339173989794e-8,true,3.555805581186629e-8,true,8.319440806179433e-8
0,false,0.026108507994954937,true,2.8404573870530672e-14,false,2.0070286497317484,false,0.026952798147068146,true,4.265589779595976e-8,true,5.6006219465389575e-14,true,3.8457269456886456e-7
0,false,0.042145577846214324,true,2.99557153097944e-14,false,2.9622550280419766,false,0.04214536164658169,true,3.690003756455203e-8,true,5.171092607612575e-14,true,1.5678340715276802e-6
0,false,0.03864591491798308,true,4.333056122425436e-14,false,2.698557199920574,false,0.038648962941928905,true,7.24350024318475e-8,true,8.487662643602728e-8,true,3.349962069234169e-11
0,false,0.029907805444355205,true,2.829841640222117e-14,false,2.8313329330809682,false,0.027278697233982237,true,1.5517144583850841e-7,true,6.833738651590408e-14,true,4.1198137936516164e-11
0,false,0.2113186496607492,true,4.520218555518026e-14,false,2.5806799106746627,false,0.2110934894598313,true,1.952348151325867e-8,true,7.32769934576272e-14,true,3.0658492658402916e-11
0,false,0.7560632782946651,true,4.07948957773369e-14,false,2.363394574896369,false,0.7606629876730521,true,1.296625909983381e-7,true,1.1571982280325188e-13,true,2.0629574612843427e-11
0,false,1.2636507761254032,true,8.434927879512493e-14,false,2.212918329049985,false,1.2643934658920464,true,2.2070074123509708e-8,true,1.3290661495212194e-13,true,1.1572069246489015e-11
0,false,1.0995280806478043,true,1.7021846424824221e-13,false,1.9218021353189034,false,1.0254415972309354,true,1.2949287541833208e-8,true,1.4992238052132612e-13,true,3.200673974388753e-12
0,false,1.1162441870506883,true,1.322699050496574e-13,false,1.7595586496578912,false,1.081918753798553,true,1.03812498160769e-7,true,1.0264662856810185e-13,true,7.91187084900147e-12
0,false,0.9261003904218075,true,1.8343924890308143e-13,false,1.5840068212371639,false,0.9274448416648214,true,6.1825240981401286e-9,true,5.336402973656021e-13,true,4.603885303921806e-13
0,false,0.599719354333774,true,3.292222632597395e-13,false,1.2171749531736666,false,0.5997866990899687,true,3.1461831031077086e-8,true,4.507851781563992e-13,true,3.925726863778927e-13
0,false,0.4750524849102936,true,3.466505718264778e-13,false,1.381222040681584,false,0.5200739820168905,true,1.2365659537117245e-7,true,9.647620517284601e-13,true,6.452642010833985e-13
0,false,0.3375659092946715,true,4.226291370524845e-13,false,1.115060967997086,false,0.33816168146512837,true,5.012558323444661e-8,true,1.0552051700814885e-12,true,1.756867294730884e-10
