stepper,use_corr,use_curve_search,shift,time_geomean_thisconv,iters_geomean_thisconv,time_geomean_allconv,iters_geomean_allconv,time_geomean_all,iters_geomean_all,optimal,infeasible,numerical,slowprogress,timelimit,iterationlimit,total
Hypatia.Solvers.PredOrCentStepper{Float64},false,false,0,0.06543804407802242,44.02397405071123,0.06127149946747454,42.51884003415868,0.9794376024023337,69.71782952028913,200,0,52,0,0,10,272
Hypatia.Solvers.PredOrCentStepper{Float64},true,false,0,0.14714615300746367,26.95290951404161,0.1305845141886073,23.67608269753749,1.1333938928051215,43.69501123809249,213,0,49,0,0,0,272
Hypatia.Solvers.PredOrCentStepper{Float64},true,true,0,0.0427795882290686,23.944388092297626,0.03594168474429174,21.528832427586284,0.3830398796064386,38.80999281828078,216,0,46,0,0,0,272
Hypatia.Solvers.CombinedStepper{Float64},true,true,2,0.043822089459248044,15.390317572004507,0.03541465289825202,14.264694067187282,0.5336311596571061,29.65626049556291,208,0,31,23,0,0,272
