x,nat,ext,mosek
3,8.671036958694458,3.7212319374084473,0.022588014602661133
10,0.24887895584106445,3.319221019744873,0.7935500144958496
15,1.6718659400939941,18.652392864227295,
20,7.912053108215332,124.46542096138,15.77976107597351
25,22.161216020584106,664.3003590106964,
30,64.82568502426147,682.3694789409637,
35,137.15500402450562,,
40,294.6987040042877,,390.1627140045166
45,562.4646439552307,,894.0668230056763
50,1056.8020648956299,,
